CustomerID,CustomerName,ContactName,Address,City,PostalCode,Country,OrderID,EmployeeID,OrderDate,ShipperID
2,Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constituci—n 2222,M_xico D.F.,5021,Mexico,10308,7,9/18/96,3
3,Antonio Moreno Taquer’a,Antonio Moreno,Mataderos 2312,M_xico D.F.,5023,Mexico,10365,3,11/27/96,2
4,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,10355,6,11/15/96,1
4,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,10383,8,12/16/96,3
5,Berglunds snabbk_p,Christina Berglund,Berguvsv_gen 8,Lule?,S-958 22,Sweden,10278,8,8/12/96,2
5,Berglunds snabbk_p,Christina Berglund,Berguvsv_gen 8,Lule?,S-958 22,Sweden,10280,2,8/14/96,1
5,Berglunds snabbk_p,Christina Berglund,Berguvsv_gen 8,Lule?,S-958 22,Sweden,10384,3,12/16/96,3
7,Blondel père et fils,Fr_d_rique Citeaux,24  place Kl_ber,Strasbourg,67000,France,10265,2,7/25/96,1
7,Blondel père et fils,Fr_d_rique Citeaux,24  place Kl_ber,Strasbourg,67000,France,10297,5,9/4/96,2
7,Blondel père et fils,Fr_d_rique Citeaux,24  place Kl_ber,Strasbourg,67000,France,10360,4,11/22/96,3
7,Blondel père et fils,Fr_d_rique Citeaux,24  place Kl_ber,Strasbourg,67000,France,10436,3,2/5/97,2
8,B—lido Comidas preparadas,Mart’n Sommer,C/ Araquil  67,Madrid,28023,Spain,10326,4,10/10/96,2
9,Bon app',Laurence Lebihans,12  rue des Bouchers,Marseille,13008,France,10331,9,10/16/96,1
9,Bon app',Laurence Lebihans,12  rue des Bouchers,Marseille,13008,France,10340,1,10/29/96,3
9,Bon app',Laurence Lebihans,12  rue des Bouchers,Marseille,13008,France,10362,3,11/25/96,1
10,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,10389,4,12/20/96,2
10,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,10410,3,1/10/97,3
10,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,10411,9,1/10/97,3
10,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,10431,4,1/30/97,2
11,B's Beverages,Victoria Ashworth,Fauntleroy Circus,London,EC2 5NT,UK,10289,7,8/26/96,3
13,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,M_xico D.F.,5022,Mexico,10259,4,7/18/96,3
14,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,10254,5,7/11/96,2
14,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,10370,6,12/3/96,2
15,Com_rcio Mineiro,Pedro Afonso,Av. dos Lus’adas  23,S‹o Paulo,05432-043,Brazil,10290,8,8/27/96,1
16,Consolidated Holdings,Elizabeth Brown,Berkeley Gardens 12 Brewery,London,WX1 6LT,UK,10435,8,2/4/97,2
17,Drachenblut Delikatessend,Sven Ottlieb,Walserweg 21,Aachen,52066,Germany,10363,4,11/26/96,3
17,Drachenblut Delikatessend,Sven Ottlieb,Walserweg 21,Aachen,52066,Germany,10391,3,12/23/96,3
